PORT_NAME,CNTR_CODE3,LONGITUDE,LATITUDE
PORT OF WAKAYAMA,JPN,135.1270907,34.22305556
HIKI,JPN,135.124774,34.239658
YURA,JPN,135.1171,33.957534
HIGASHI-HARIMA,JPN,134.837619,34.715535
TSUIYAMA,JPN,134.8359,35.645034
KAKOGAWA,JPN,134.833333,34.7
MEGA,JPN,134.691456,34.775468
ANAN,JPN,134.6883,33.929034
TACHIBANA,JPN,134.666667,33.866667
SHIKAMA,JPN,134.658483,34.780854
HIROHATA,JPN,134.623464,34.782264
HIMEJI,JPN,134.603806,34.769369
NARUTO HARBOR,JPN,134.6037102,34.11388889
NARUTO,JPN,134.603694,34.113815
KOMATSUJIMA,JPN,134.6003,34.002334
KOMATSUSHIMA,JPN,134.6,34.016667
TOKUSHIMA,JPN,134.593681,34.052085
O0KIHAMA,JPN,134.566667,34.75
MIEI,IDN,134.5,-2.733333
AIOI,JPN,134.46139,34.78672
MALAKAL HARBOR,PLW,134.45,7.333333
HIGASHIKAGAWA,JPN,134.337687,34.257465
TOTTORI HARBOR,JPN,134.187927,35.54027778
ANGAUR,PLW,134.1347046,6.90447998
MANOKWARI ROAD,IDN,134.083333,-0.866667
MANOKWARI,IDN,134.0733,-0.86466613
TAKAMATSU,JPN,134.068552,34.357887
OKAYAMA,JPN,133.981263,34.605355
NAOSHIMA,JPN,133.954058,34.49252
UNO,JPN,133.95,34.483333
UNO KO,JPN,133.95,34.48333333
PORT OF TAMANO,JPN,133.9437574,34.48944444
HIBI KO,JPN,133.933333,34.45
HIBI,JPN,133.9291,34.448734
SAKAIDE,JPN,133.85226,34.356638
SAKAIDE KO,JPN,133.85,34.333333
MARUGAME KO,JPN,133.7833333,34.3
MIZUSHIMA,JPN,133.7505,34.512534
MARUGAME,JPN,133.7491,34.269434
MIZUSHIMA KO,JPN,133.733333,34.5
KONAN HARBOR,JPN,133.6895171,33.53527778
TAKUMA,JPN,133.6581,34.231834
THEVENARD,AUS,133.65,-32.166667
KOCHI KO,JPN,133.566667,33.5
KOCHI,JPN,133.5637,33.543234
MISHIMA-KAWANOE,JPN,133.557961,34.005773
MISHIMA-KAWANOE KO,JPN,133.55,34
PORT OF KASAOKA,JPN,133.4244405,34.46555556
FUKUYAMA,JPN,133.4195,34.449934
OKI,JPN,133.3223,36.192034
SUSAKI KO,JPN,133.3,33.383333
SUZAKI,JPN,133.2885,33.380534
