PORT_NAME,CNTR_CODE3,LONGITUDE,LATITUDE,Port Name Lower,Main Port Name,Country Code,Latitude,Longitude,_merge,lon diff,lat diff,position diff,Country Code 3
SIKKA,IND,69.833333,22.433333,sikka,Sikka,India,22.433333,69.833333,both,44.715802,-14.260972499999998,58.97677449999999,IND
SILBA,HRV,14.69189453,44.37188721,silba,,,,,left_only,-55.14143847,21.938554209999996,77.07999267999999,
SILE,TUR,29.60831989,41.17976795,sile,,,,,left_only,14.91642536,-3.1921192599999983,18.108544619999996,
SILISTRA,BGR,27.24912494,44.10461595,silistra,,,,,left_only,-2.359194949999999,2.9248480000000043,5.2840429500000035,
SILIVRI,TUR,28.2509205,41.06758361,silivri,,,,,left_only,1.001795559999998,-3.037032340000003,4.038827900000001,
SILLAMAE,EST,27.75924492,59.39700317,sillamae,Sillamae,Estonia,59.42612,27.73945,both,-0.491675579999999,18.329419559999998,18.821095139999997,EST
SILLOTH,GBR,-3.399780273,54.86767578,silloth,Silloth,United Kingdom,54.866667,-3.4,both,-31.159025193,-4.529327389999999,35.688352583,GBR
SILO,HRV,14.66888428,45.1506958,silo,,,,,left_only,18.068664553,-9.716979979999998,27.785644533,
SILVER BAY,USA,-91.257,47.27713387,silver bay,,,,,left_only,-105.92588428,2.126438069999999,108.05232235,
SILVERDALE,USA,-122.6925,47.64433387,silverdale,Silverdale,United States,47.65,-122.7,both,-31.43549999999999,0.36719999999999686,31.802699999999987,USA
SILVERTOWN,GBR,0.033333333,51.5,silvertown,,,,,left_only,122.725833333,3.855666130000003,126.581499463,
SIMIZU KO,JPN,138.5,35.016667,simizu ko,,,,,left_only,138.466666667,-16.483333000000002,154.949999667,
SIMONSTOWN,ZAF,18.433333,-34.183333,simonstown,Simonstown,South Africa,-34.185,18.436666667,both,-120.066667,-69.19999999999999,189.26666699999998,ZAF
SIMRISHAMN,SWE,14.35641164,55.5559108,simrishamn,Simrishamn,Sweden,55.558333333,14.358055556,both,-4.076921360000002,89.7392438,93.81616516,SWE
SINABANG,IDN,96.4013,2.455733868,sinabang,,,,,left_only,82.04488836,-53.100176932,135.145065292,
SINCO,USA,-95.233333,29.716667,sinco,Sinco,United States,29.716667,-95.233333,both,-191.634633,27.260933132,218.895566132,USA
SINES,PRT,-8.859481852,37.94456416,sines,Sines,Portugal,37.95,-8.866667,both,86.373851148,8.227897159999998,94.601748308,PRT
SINGAPORE,SGP,103.8530884,1.262084961,singapore,,,,,left_only,112.712570252,-36.682479199,149.395049451,
SINGKAWANG,IDN,108.9665454,0.91865433,singkawang,,,,,left_only,5.113456999999997,-0.34343063100000004,5.456887630999997,
SINOP,TUR,35.166667,42.05,sinop,Sinop,Turkey,42.05,35.166667,both,-73.79987840000001,41.131345669999995,114.93122407000001,TUR
SINT MICHELSBAAI,CUW,-69.016667,12.133333,sint michelsbaai,Sint Michelsbaai,Curacao,12.133333,-69.016667,both,-104.183334,-29.916666999999997,134.100001,
SINT NICOLAAS,ABW,-69.9095,12.42103387,sint nicolaas,,,,,left_only,-0.892832999999996,0.2877008700000001,1.180533869999996,
SIPITANG,MYS,115.5403,5.068733868,sipitang,,,,,left_only,185.45696700000002,-7.3645991319999995,192.82156613200002,
SIPOONLAHTI,FIN,25.35229492,60.26409912,sipoonlahti,,,,,left_only,-90.18800508000001,55.195365251999995,145.383370332,
SIRACUSA,ITA,15.28571727,37.06565603,siracusa,Siracusa,Italy,37.05,15.283333,both,-10.06657765,-23.198443089999998,33.26502074,ITA
SIRRI ISLAND,IRN,54.5485,25.900134,sirri island,,,,,left_only,39.26278273,-11.165522029999998,50.428304759999996,
SIRTE,LBY,16.58037524,31.21142741,sirte,,,,,left_only,-37.968124759999995,5.3112934099999976,43.27941816999999,
SIRUS OIL TERMINAL,IRN,49.483333,29.016667,sirus oil terminal,Sirus Oil Terminal,Iran,29.016667,49.483333,both,32.90295776000001,-2.194760409999997,35.09771817000001,IRN
SISIMIUT,GRL,-53.7,66.916667,sisimiut,Sisimiut,Greenland,66.916667,-53.7,both,-103.183333,37.900000000000006,141.083333,GRL
SITGES,ESP,1.824639663,41.23378649,sitges,,,,,left_only,55.524639663,-25.682880510000004,81.207520173,
SITIA,GRC,26.10767433,35.21255537,sitia,Sitia,Greece,35.216667,26.133333,both,24.283034667,-6.021231120000003,30.304265787000002,GRC
SITKA,USA,-135.333333,57.05,sitka,Sitka,United States,57.05,-135.333333,both,-161.44423388,21.837475589999997,183.28170947,USA
SITRA,BHR,50.63348389,26.14770508,sitra,,,,,left_only,185.96681689000002,-30.902294919999996,216.86911181000002,
SITTWE,MMR,92.90185,20.141331,sittwe,Sittwe,Burma,20.133333,92.9,both,42.235183,-6.025335999999999,48.260519,BUR
SJAELLANDS ODDE,DNK,11.30047607,55.97448731,sjaellands odde,,,,,left_only,-81.60137393,35.83315631,117.43453023999999,
SJOVEGAN,NOR,17.833333,68.883333,sjovegan,Sjovegan,Norway,68.873611111,17.828611111,both,6.5328569299999995,12.908845689999993,19.441702619999994,NOR
SKADOVS'K,UKR,32.916667,46.1,skadovs'k,Skadovs'k,Ukraine,46.1,32.916667,both,15.083333999999997,-22.783332999999992,37.86666699999999,UKR
SKAELSKOR,DNK,11.28948975,55.25109863,skaelskor,Skaelskor,Denmark,55.25,11.3,both,-21.62142925,9.141438630000003,30.76286788,DNK
SKAERBAEK,DNK,9.616667,55.516667,skaerbaek,Skaerbaek,Denmark,55.516667,9.616667,both,-1.67282275,0.2655683699999969,1.9383911199999968,DNK
SKAGASTROND,ISL,-20.31666667,65.83333333,skagastrond,Skagastrond,Iceland,65.816666667,-20.316666667,both,-29.924943037,10.32283528,40.247778317,ISL
SKAGEN,DNK,10.59312685,57.71843449,skagen,,,,,left_only,30.90979352,-8.114898840000002,39.02469236,
SKAGWAY,USA,-135.3127,59.45583387,skagway,Skagway,United States,59.45,-135.333333,both,-145.9127,1.7391668699999983,147.65186687,USA
SKANEVIK,NOR,5.9343,59.734334,skanevik,,,,,left_only,141.247,0.2785001299999976,141.52550013,
SKARAMANGA,GRC,23.59638664,38.00916831,skaramanga,,,,,left_only,17.66208664,-21.725165689999997,39.387252329999995,
SKARHAMN,SWE,11.54369057,57.99107938,skarhamn,,,,,left_only,-12.052696069999998,19.981911070000002,32.03460714,
SKARO/DREJO,DNK,10.47192383,55.04187012,skaro/drejo,,,,,left_only,-1.071766740000001,-2.9492092600000035,4.0209760000000045,
SKATTKARR,SWE,13.68048096,59.4085083,skattkarr,,,,,left_only,3.208557130000001,4.3666381800000025,7.575195310000003,
SKELD (SHETLAND ISLANDS),GBR,-1.432904177,60.16909855,skeld (shetland islands),,,,,left_only,-15.113385137,0.7605902499999999,15.873975387,
SKELLEFTEA,SWE,20.97118568,64.75019836,skelleftea,,,,,left_only,22.404089857000002,4.581099809999998,26.985189667,
SKELLEFTEHAMN,SWE,21.2308712,64.69094849,skelleftehamn,Skelleftehamn,Sweden,64.683333,21.233333,both,0.2596855199999979,-0.05924987000000215,0.31893539000000004,SWE
SKERJAFJORDUR,ISL,-22.016667,64.15,skerjafjordur,Skerjafjordur,Iceland,64.15,-22.016667,both,-43.2475382,-0.540948489999991,43.78848668999999,ISL
SKHIRA,TUN,10.1,34.283333,skhira,Skhira,Tunisia,34.283333,10.1,both,32.116667,-29.866667000000007,61.983334000000006,TUN
